Açao Orçamentária;Categoria de Programação;Unidade Administrativa;Despesa Agregada;Plano Interno;GND;Elemento;Subelemento;Item de Despesa;Proposta UA-1;Proposta Final;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;ADEQUAÇÃO DOS CARTÓRIOS E POSTOS ELEITORAIS ÀS NORMAS DE ACESSIBILIDADE;EDF ADEQCAR;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVIÇOS DE MANUTENÇÃO DAS INSTALAÇÕES DE IMÓVEL;220.000,00;220.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;IMPERMEABILIZAÇÃO E DRENAGEM NOS JARDINS INTERNOS E EXTERNOS E CORREÇÃO DE INFILTRAÇÕES NO ED. SEDE;EDF DRENJAR;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVIÇOS DE MANUTENÇÃO DAS INSTALAÇÕES DE IMÓVEL;160.000,00;160.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;PINTURA E CORREÇÃO DE TRINCAS E RACHADURAS DOS IMÓVEIS DO TREDF;EDF PINCORR;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVIÇOS DE MANUTENÇÃO DAS INSTALAÇÕES DE IMÓVEL;525.000,00;525.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;REFORMA DO CARTÓRIO ELEITORAL DO LAGO SUL - DF;EDF RCARLAG;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVICOS DE REPAROS E REFORMAS DE IMOVEIS EM GERAL;400.000,00;400.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;REVISÃO DE TELHADOS, IMPERMEABILIZAÇÃO E CAPTAÇÃO DE ÁGUAS PLUVIAIS DOS IMÓVEIS DO TREDF;EDF REVTELH;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVIÇOS DE MANUTENÇÃO DAS INSTALAÇÕES DE IMÓVEL;160.000,00;160.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;REVISÃO DO SISTEMA DE ATERRAMENTO E PROTEÇÃO CONTRA DESCARGAS ATMOSFÉRICAS;EDF RVSATER;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVIÇOS DE MANUTENÇÃO DAS INSTALAÇÕES DE IMÓVEL;200.000,00;200.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;SUBSTITUIÇÃO DAS DIVISÓRIAS COM COLOCAÇÃO DE PISO ELEVADO NO EDIFÍCIO SEDE;EDF SBSDIV;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVIÇOS DE MANUTENÇÃO DAS INSTALAÇÕES DE IMÓVEL;1.275.000,00;0,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;SUBSTITUIÇÃO DAS DIVISÓRIAS COM COLOCAÇÃO DE PISO ELEVADO NO EDIFÍCIO SEDE;EDF SBSDIV;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.51 - PEÇAS NÃO INCORPORÁVEIS A IMÓVEIS;DIVISÓRIAS;0,00;500.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SESEG - SEÇAO DE SEGURANÇA;INSTALAÇÃO DE SISTEMA DE SEGURANÇA ELETRONICO - CFTV;EDF SISELET;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.24 - EQUIPAMENTO DE PROTEÇÃO DE SEG. E SOCORRO;CIRCUITO INTERNO DE TELEVISÃO;700.000,00;0,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;STI - SECRETARIA DE TECNOLOGIA DA INFORMAÇAO;ACESSO EXTERNO AO SISTEMA SEI E AO SERVIÇO DE E-MAIL CORPORATIVO DO TRE-DF;EDF ACEXSEI;44 - INVESTIMENTOS;44.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;4490.39.93 - AQUISIÇÃO DE SOFTWARE;AQUISIÇÃO DE SOFTWARE;347.600,00;0,00;;
