Açao Orçamentária;Categoria de Programação;Unidade Administrativa;Despesa Agregada;Plano Interno;GND;Elemento;Subelemento;Item de Despesa;Proposta UA-1;Proposta Final
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;FUNCIONAMENTO DA AÇÃO ESTRATÉGICA;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;ENERGIA ELÉTRICA;DIEF ENERGI;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.43 - SERVIÇOS DE ENERGIA ELÉTRICA;SERVIÇOS DE ENERGIA ELETRICA;28.000,00;28.000,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;FUNCIONAMENTO DA AÇÃO ESTRATÉGICA;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;ENERGIA ELÉTRICA;DIEF ENERGI;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.43 - SERVIÇOS DE ENERGIA ELÉTRICA;TARIFAS DECORRENTES DA UTILIZACAO DE SERVICOS DE ENERGIA ELETRICA;490,00;490,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;FUNCIONAMENTO DA AÇÃO ESTRATÉGICA;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;SERVIÇOS DE ÁGUA E ESGOTO;DIEF AGUA;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.44 - SERVIÇOS DE ÁGUA E ESGOTO;SERVIÇOS DE AGUA E ESGOTO;10.500,00;10.500,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;FUNCIONAMENTO DA AÇÃO ESTRATÉGICA;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;TELEFONIA;DOSA TELEFO;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.58 - SERVIÇOS DE TELECOMUNICAÇÕES;TELEFONIA FIXA;21.000,00;21.000,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.09 - MATERIAL FARMACOLÓGICO;MATERIAL FARMACOLÓGICO DIVERSOS;12.848,91;12.848,91
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.09 - MATERIAL FARMACOLÓGICO;VACINAS;33.000,00;33.000,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.10 - MATERIAL ODONTOLÓGICO;LUVA DESCARTÁVEL;104,00;104,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.10 - MATERIAL ODONTOLÓGICO;MANEQUIM ODONTOLÓGICO;19.337,33;19.337,33
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.36 - MATERIAL HOSPITALAR;ABAIXADOR DE LÍNGUA;6,96;6,96
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.36 - MATERIAL HOSPITALAR;ABSORVENTE HIGIÊNICO;80,00;80,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.36 - MATERIAL HOSPITALAR;ÁLCOOL 70%;105,00;105,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.36 - MATERIAL HOSPITALAR;ALGODAO;360,00;360,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.36 - MATERIAL HOSPITALAR;ESPARADRAPO ANTIALERGICO TIPO MICROPORE;140,00;140,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.36 - MATERIAL HOSPITALAR;FITA HIPOALERGICA;30,00;30,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.36 - MATERIAL HOSPITALAR;GEL PARA ECG;5,00;5,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.36 - MATERIAL HOSPITALAR;LANTERNA DE USO CLINICO;50,00;50,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.36 - MATERIAL HOSPITALAR;LUVA CIRÚRGICA ESTÉRIL;604,20;604,20
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.36 - MATERIAL HOSPITALAR;MÁSCARA CIRURGICA;28,00;28,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.36 - MATERIAL HOSPITALAR;MATERIAL HOSPITALAR DIVERSOS;12.662,41;12.662,41
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;LIMPEZA E CONSERVAÇÃO;AIEF LIMPEZ;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.46 - SERVIÇOS DOMÉSTICOS;SERVIÇOS DE LAVANDERIA;6.000,00;6.000,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;LOCAÇÃO DE MÁQUINAS, EQUIPAMENTOS E BENS MÓVEIS;AOSA LOCMAQ;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.14 - LOCAÇÃO DE BENS MÓVEIS DE OUTRAS NATUREZAS E INTAN;LOCAÇÃO DE STANDS;7.800,00;7.800,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;SERVIÇOS DE COMUNICAÇÃO EM GERAL;AOSA COMUNI;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.47 - SERVIÇOS DE COMUNICAÇÃO EM GERAL;SERVIÇOS DE COMUNICAÇÃO EM GERAL;35.000,00;35.000,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;EQUIPAMENTOS MÉDICOS E ODONTOLÓGICOS;AREA MEDODO;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.08 - APAR. EQUIP. UTENS. MÉD. ODONT. LABOR. HOSPITALAR;APARELHO FOTOPOLEMERIZADOR;1.100,00;1.100,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;EQUIPAMENTOS MÉDICOS E ODONTOLÓGICOS;AREA MEDODO;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.08 - APAR. EQUIP. UTENS. MÉD. ODONT. LABOR. HOSPITALAR;APARELHO PARA LASERTERAPIA;4.000,00;4.000,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;EQUIPAMENTOS MÉDICOS E ODONTOLÓGICOS;AREA MEDODO;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.08 - APAR. EQUIP. UTENS. MÉD. ODONT. LABOR. HOSPITALAR;EQUIPO ODONTOLÓGICO;1.000,00;1.000,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;EQUIPAMENTOS MÉDICOS E ODONTOLÓGICOS;AREA MEDODO;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.08 - APAR. EQUIP. UTENS. MÉD. ODONT. LABOR. HOSPITALAR;REFLETOR;640,00;640,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;EQUIPAMENTOS MÉDICOS E ODONTOLÓGICOS;AREA MEDODO;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.08 - APAR. EQUIP. UTENS. MÉD. ODONT. LABOR. HOSPITALAR;TURBINA (CANETA ALTA ROTAÇÃO);1.600,00;1.600,00
