Açao Orçamentária;Categoria de Programação;Unidade Administrativa;Despesa Agregada;Plano Interno;GND;Elemento;Subelemento;Item de Despesa;Proposta UA-1;Proposta Final
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;ASPLAN - ASSESSORIA DE PLANEJAMENTO;APOIO OPERACIONAL - URNAS ELETRÔNICAS;UEL APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.01 - APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;AUXILIARES DE APOIO ÀS ELEIÇÕES;180.641,60;134.887,04
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;ASPLAN - ASSESSORIA DE PLANEJAMENTO;TRANSPORTE DE URNAS ELETRÔNICAS 1º TURNO;UEL TRANSP1;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.74 - FRETES E TRANSPORTE DE ENCOMENDAS;FRETES E TRANSPORTES DE ENCOMENDAS;10.087,20;5.043,60
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;ASPLAN - ASSESSORIA DE PLANEJAMENTO;TRANSPORTE DE URNAS ELETRÔNICAS 2º TURNO;UEL TRANSP2;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.74 - FRETES E TRANSPORTE DE ENCOMENDAS;FRETES E TRANSPORTES DE ENCOMENDAS;10.086,00;5.043,60
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;ASPLAN - ASSESSORIA DE PLANEJAMENTO;ADICIONAL DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;FUN APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.01 - APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;MOTORISTA;118.268,40;65.560,04
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;ASPLAN - ASSESSORIA DE PLANEJAMENTO;ADICIONAL DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;FUN APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.01 - APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;TELEFONISTA;152.453,60;106.717,52
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;ASPLAN - ASSESSORIA DE PLANEJAMENTO;ADICIONAL DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;FUN APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.01 - APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;TELEFONISTA, RECEPCIONISTA E OPER. DE REPROGRAFIA;67.370,00;67.370,00
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;ASPLAN - ASSESSORIA DE PLANEJAMENTO;ADICIONAL DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;FUN APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.05 - SERVIÇOS DE COPA E COZINHA;SERVIÇOS DE COPA E COZINHA;39.000,00;39.000,00
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;ASPLAN - ASSESSORIA DE PLANEJAMENTO;ADICIONAL DE COMBUSTÍVEIS;FUN COMBUS;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.01 - COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS;COMBUSTÍVEIS;29.000,00;29.000,00
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;ASPLAN - ASSESSORIA DE PLANEJAMENTO;ADICIONAL DE DESPESAS COM TELEFONIA;FUN TELEFO;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.58 - SERVIÇOS DE TELECOMUNICAÇÕES;SERVIÇOS DE TELEFONIA MÓVEL E CELULAR;23.427,65;11.481,10
02.061.0570.4269.0001 - PLEITOS ELEITORAIS - NACIONAL;PLEITOS ELEITORAIS;ASPLAN - ASSESSORIA DE PLANEJAMENTO;ADICIONAL DE ENERGIA ELÉTRICA;FUN ENERGI;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.43 - SERVIÇOS DE ENERGIA ELÉTRICA;SERVIÇOS DE ENERGIA ELETRICA;18.000,00;18.000,00
