Açao Orçamentária;Categoria de Programação;Unidade Administrativa;Despesa Agregada;Plano Interno;GND;Elemento;Subelemento;Item de Despesa;Proposta UA-1;Proposta Final
02.122.0570.0000.28DF - AMPLIAÇÃO E REFORMA DE ANEXO AO EDIFÍCIO-SEDE DO TRIBUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL -DF;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;AMPLIAÇÃO E REFORMA DE ANEXO AO EDIFÍCIO-SEDE DO TRIBUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL -DF;EDF AMPANEX;44 - INVESTIMENTOS;44.90.51 - OBRAS E INSTALAÇÕES;4490.51.80 - ESTUDOS E PROJETOS;ESTUDOS E PROJETOS;70.000,00;0,00
02.122.0570.0000.28DF - AMPLIAÇÃO E REFORMA DE ANEXO AO EDIFÍCIO-SEDE DO TRIBUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL -DF;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;AMPLIAÇÃO E REFORMA DE ANEXO AO EDIFÍCIO-SEDE DO TRIBUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL -DF;EDF AMPANEX;44 - INVESTIMENTOS;44.90.51 - OBRAS E INSTALAÇÕES;4490.51.91 - OBRAS EM ANDAMENTO;SERVIÇO DE REFORMA E AMPLIAÇÃO DE IMÓVEIS;927.000,00;0,00
02.122.0570.0000.28DF - AMPLIAÇÃO E REFORMA DE ANEXO AO EDIFÍCIO-SEDE DO TRIBUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL -DF;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;AMPLIAÇÃO E REFORMA DE ANEXO AO EDIFÍCIO-SEDE DO TRIBUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL -DF;EDF AMPANEX;44 - INVESTIMENTOS;44.90.51 - OBRAS E INSTALAÇÕES;4490.51.92 - INSTALAÇÕES;INSTALAÇÕES;58.000,00;0,00
02.122.0570.0000.29DF - AMPLIAÇÃO E REFORMA DE DEPÓSITO DE ARMAZENAMENTO DE URNAS ELETRÔNICAS NO DISTRITO FEDERAL - DF;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;AMPLIAÇÃO E REFORMA DE DEPÓSITO DE ARMAZENAMENTO DE URNAS ELETRÔNICAS NO DISTRITO FEDERAL - DF;EDF AMPURNA;44 - INVESTIMENTOS;44.90.51 - OBRAS E INSTALAÇÕES;4490.51.80 - ESTUDOS E PROJETOS;ESTUDOS E PROJETOS;70.000,00;0,00
02.122.0570.0000.29DF - AMPLIAÇÃO E REFORMA DE DEPÓSITO DE ARMAZENAMENTO DE URNAS ELETRÔNICAS NO DISTRITO FEDERAL - DF;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;AMPLIAÇÃO E REFORMA DE DEPÓSITO DE ARMAZENAMENTO DE URNAS ELETRÔNICAS NO DISTRITO FEDERAL - DF;EDF AMPURNA;44 - INVESTIMENTOS;44.90.51 - OBRAS E INSTALAÇÕES;4490.51.91 - OBRAS EM ANDAMENTO;SERVIÇO DE REFORMA E AMPLIAÇÃO DE IMÓVEIS;662.000,00;0,00
02.122.0570.0000.29DF - AMPLIAÇÃO E REFORMA DE DEPÓSITO DE ARMAZENAMENTO DE URNAS ELETRÔNICAS NO DISTRITO FEDERAL - DF;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;AMPLIAÇÃO E REFORMA DE DEPÓSITO DE ARMAZENAMENTO DE URNAS ELETRÔNICAS NO DISTRITO FEDERAL - DF;EDF AMPURNA;44 - INVESTIMENTOS;44.90.51 - OBRAS E INSTALAÇÕES;4490.51.92 - INSTALAÇÕES;INSTALAÇÕES;123.000,00;0,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;PINTURA E CORREÇÃO DE TRINCAS E RACHADURAS DOS IMÓVEIS DO TREDF;EDF PINCORR;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVIÇOS DE MANUTENÇÃO DAS INSTALAÇÕES DE IMÓVEL;525.000,00;324.950,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;REFORMA DO EDIFÍCIO-SEDE DO TRIBUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL-DF;EDF REFSEDE;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVICOS DE REPAROS E REFORMAS DE IMOVEIS EM GERAL;153.000,00;0,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SEMAR - SEÇAO DE MANUTENÇAO E REPAROS;SUBSTITUIÇÃO DAS DIVISÓRIAS COM COLOCAÇÃO DE PISO ELEVADO NO EDIFÍCIO SEDE;EDF SBSDIV;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVIÇOS DE MANUTENÇÃO DAS INSTALAÇÕES DE IMÓVEL;1.275.000,00;200.000,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SGP - SECRETARIA DE GESTAO DE PESSOAS;MAPEAMENTO DE COMPETÊNCIAS DO TRE/DF;EDF MAPCOMP;33 - OUTRAS DESPESAS CORRENTES;33.90.35 - SERVIÇOS DE CONSULTORIA;3390.35.01 - ASSESSORIA E CONSULTORIA TÉCNICA OU JURÍDICA;ASSESSORIA E CONSULTORIA TÉCNICA OU JURÍDICA;80.000,00;0,00
