Açao Orçamentária;Categoria de Programação;Unidade Administrativa;Despesa Agregada;Plano Interno;GND;Elemento;Subelemento;Item de Despesa;Proposta UA-1;Proposta Final
02.122.0570.12V5.0101 - CONSTRUÇÃO DO CENTRO DE TREINAMENTO DE PESSOAL DO TRIBUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL - DF;AÇÃO ESTRATÉGICA;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;CONSTRUÇÃO DO CENTRO DE TREINAMENTO DE PESSOAL DO TRIBUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL;EDF CCTREIN;44 - INVESTIMENTOS;44.90.51 - OBRAS E INSTALAÇÕES;4490.51.91 - OBRAS EM ANDAMENTO;SERVIÇOS DE CONSTRUÇÃO DE IMÓVEIS;700.000,00;0,00
02.122.0570.14A2.0101 - CONSTRUÇÃO DE CARTÓRIO ELEITORAL NO LAGO SUL - DF;AÇÃO ESTRATÉGICA;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;CONSTRUÇÃO DA 1ª ZONA EXTERIOR ELEITORAL - NO DISTRITO FEDERAL;EDF CCAREXT;44 - INVESTIMENTOS;44.90.51 - OBRAS E INSTALAÇÕES;4490.51.91 - OBRAS EM ANDAMENTO;SERVIÇOS DE CONSTRUÇÃO DE IMÓVEIS;600.000,00;600.000,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;AMPLIAÇÃO E REFORMA DO EDIFÍCIO-SEDE DO TRE-DF;EDF AMPSEDE;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVICOS DE REPAROS E REFORMAS DE IMOVEIS EM GERAL;1.200.000,00;500.000,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;REFORMA DA BIBLIOTECA DO TRIBUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL;EDF BIBLIO;33 - OUTRAS DESPESAS CORRENTES;33.90.36 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;3390.36.06 - SERVIÇOS TÉCNICOS PROFISSIONAIS;SERVIÇOS TÉCNICOS PROFISSIONAIS EM GERAL - PESSOA FÍSICA;70.000,00;0,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;REFORMA DA BIBLIOTECA DO TRIBUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL;EDF BIBLIO;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVICOS DE REPAROS E REFORMAS DE IMOVEIS EM GERAL;800.000,00;0,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SECOS - SEÇÃO DE COMUNICAÇÃO;APARELHAR A SEÇÃO DE COMUNICAÇÃO SOCIAL DE UNIDADE DE EDITORAÇÃO;EDF APARCS;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.12 - LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;LOCAÇÃO DE EQUIPAMENTOS DIVERSOS;19.860,00;0,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SECOS - SEÇÃO DE COMUNICAÇÃO;APARELHAR A SEÇÃO DE COMUNICAÇÃO SOCIAL DE UNIDADE DE EDITORAÇÃO;EDF APARCS;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.17 - MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E  EQUIPAMENT;SERVIÇOS DE MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS;2.500,00;0,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SECOS - SEÇÃO DE COMUNICAÇÃO;APARELHAR A SEÇÃO DE COMUNICAÇÃO SOCIAL DE UNIDADE DE EDITORAÇÃO;EDF APARCS;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.33 - EQUIPAMENTOS PARA ÁUDIO, VÍDEO E FOTO;EQUIPAMENTOS ELETRÔNICOS DIVERSOS;168.100,00;0,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SECOS - SEÇÃO DE COMUNICAÇÃO;APARELHAR A SEÇÃO DE COMUNICAÇÃO SOCIAL DE UNIDADE DE EDITORAÇÃO;EDF APARCS;44 - INVESTIMENTOS;44.90.52 - EQUIPAMENTOS E MATERIAL PERMANENTE;4490.52.42 - MOBILIÁRIO EM GERAL;MÓVEIS EM GERAL;8.500,00;0,00
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;AÇÃO ESTRATÉGICA;SECOS - SEÇÃO DE COMUNICAÇÃO;IMPLANTAÇÃO DE MURAIS ELETRÔNICOS NAS INSTALAÇÕES DO TRINUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL;EDF MURAIS;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.12 - LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;LOCAÇÃO DE EQUIPAMENTOS DIVERSOS;318.000,00;0,00
